Method Category,Transfer Setting,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C,Average
Baseline,Random Alignment,0.25,0.25,,0.25,0.25,0.25,0.25
NAP-IG-Inputs,Gold (Upper Bound),0.91,1.07,,0.25,0.91,0.95,0.82
NAP-IG-Inputs,DFA (In-Distribution),0.30,0.30,,0.27,0.29,0.29,0.29
NAP-IG-Inputs,DFA (Near-Distribution),,,,0.27,0.29,0.28,0.28
NAP-IG-Inputs,DFA (Far/Zero-Shot),0.26,0.25,,0.39,0.27,0.26,0.29
NAP,Gold (Upper Bound),0.25,0.56,,0.24,0.70,0.67,0.49
NAP,DFA (In-Distribution),0.28,0.28,,0.40,0.35,0.32,0.33
NAP,DFA (Near-Distribution),,,,0.25,0.30,0.35,0.30
NAP,DFA (Far/Zero-Shot),0.25,0.27,,0.25,0.38,0.36,0.31
NAP-IG-Activations,Gold (Upper Bound),0.25,0.60,,0.24,0.76,0.72,0.51
NAP-IG-Activations,DFA (In-Distribution),0.29,0.34,,0.40,0.32,0.31,0.33
NAP-IG-Activations,DFA (Near-Distribution),,,,0.25,0.30,0.32,0.29
NAP-IG-Activations,DFA (Far/Zero-Shot),0.25,0.28,,0.40,0.42,0.44,0.36
