Method Category,Transfer Setting,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C,Average
Baseline,Random Alignment,0.25,0.28,,0.25,0.27,0.27,0.26
NAP-IG-Inputs,Gold (Upper Bound),0.91,1.13,,0.32,1.06,0.94,0.87
NAP-IG-Inputs,DFA (In-Distribution),0.29,0.32,,0.26,0.29,0.31,0.29
NAP-IG-Inputs,DFA (Near-Distribution),,,,0.26,0.31,0.29,0.29
NAP-IG-Inputs,DFA (Far/Zero-Shot),0.36,0.33,,0.27,0.29,0.29,0.31
NAP,Gold (Upper Bound),0.25,0.82,,0.25,0.89,1.10,0.66
NAP,DFA (In-Distribution),0.28,0.26,,0.27,0.27,0.29,0.27
NAP,DFA (Near-Distribution),,,,0.26,0.29,0.27,0.27
NAP,DFA (Far/Zero-Shot),0.23,0.28,,0.26,0.40,0.38,0.31
NAP-IG-Activations,Gold (Upper Bound),0.25,0.90,,0.25,0.90,1.11,0.68
NAP-IG-Activations,DFA (In-Distribution),0.29,0.25,,0.27,0.27,0.29,0.28
NAP-IG-Activations,DFA (Near-Distribution),,,,0.26,0.29,0.27,0.27
NAP-IG-Activations,DFA (Far/Zero-Shot),0.23,0.30,,0.26,0.35,0.34,0.30
