Method,Target Model Pair,Baseline,DFA (Best),Gold,Faithfulness Recovery Ratio (%)
NAP-IG-Inputs,Llama-3 (1B $\to$ 3B),0.250000,0.390014,0.484719,80.462
NAP-IG-Inputs,Llama-3 (1B $\to$ 8B),0.254914,0.384115,0.936948,40.996
NAP-IG-Inputs,Llama-3 (3B $\to$ 8B),0.250000,0.341437,0.936948,36.441
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 1.5B),0.252023,0.290302,0.950528,30.541
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.340999,0.935355,36.457
NAP-IG-Inputs,Qwen-2.5 (1.5B $\to$ 3B),0.269239,0.307397,0.935355,32.864
NAP-IG-Activations,Llama-3 (1B $\to$ 3B),0.250000,0.512695,0.348866,146.960
NAP-IG-Activations,Llama-3 (1B $\to$ 8B),0.250983,0.404595,0.630724,64.148
NAP-IG-Activations,Llama-3 (3B $\to$ 8B),0.258845,0.562776,0.630724,89.227
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 1.5B),0.295528,0.443225,0.719617,61.592
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.483046,1.112579,43.417
NAP-IG-Activations,Qwen-2.5 (1.5B $\to$ 3B),0.250000,0.338621,1.112579,30.436
NAP,Llama-3 (1B $\to$ 3B),0.276351,0.519253,0.342257,151.714
NAP,Llama-3 (1B $\to$ 8B),0.250000,0.528857,0.586741,90.135
NAP,Llama-3 (3B $\to$ 8B),0.250000,0.288980,0.586741,49.252
NAP,Qwen-2.5 (0.5B $\to$ 1.5B),0.268428,0.358943,0.670312,53.549
NAP,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.415110,1.098571,37.786
NAP,Qwen-2.5 (1.5B $\to$ 3B),0.250000,0.380495,1.098571,34.635
