Method,Target Model Pair,Baseline,DFA (Best),Gold,Faithfulness Recovery Ratio (%)
NAP-IG-Inputs,Llama-3 (1B $\to$ 3B),0.250000,0.538121,0.516886,104.108
NAP-IG-Inputs,Llama-3 (1B $\to$ 8B),0.253865,0.474607,0.968255,49.017
NAP-IG-Inputs,Llama-3 (3B $\to$ 8B),0.250000,0.336014,0.968255,34.703
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 1.5B),0.250000,0.291969,0.905411,32.247
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.346783,1.063574,32.605
NAP-IG-Inputs,Qwen-2.5 (1.5B $\to$ 3B),0.269377,0.314740,1.063574,29.593
NAP-IG-Activations,Llama-3 (1B $\to$ 3B),0.262429,0.414364,0.425774,97.320
NAP-IG-Activations,Llama-3 (1B $\to$ 8B),0.252899,0.348466,0.585391,59.527
NAP-IG-Activations,Llama-3 (3B $\to$ 8B),0.257729,0.559722,0.585391,95.615
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 1.5B),0.278052,0.418312,0.755260,55.386
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.344791,0.895075,38.521
NAP-IG-Activations,Qwen-2.5 (1.5B $\to$ 3B),0.282171,0.346028,0.895075,38.659
NAP,Llama-3 (1B $\to$ 3B),0.272599,0.463724,0.374477,123.832
NAP,Llama-3 (1B $\to$ 8B),0.250000,0.493188,0.565068,87.280
NAP,Llama-3 (3B $\to$ 8B),0.250000,0.288068,0.565068,50.979
NAP,Qwen-2.5 (0.5B $\to$ 1.5B),0.269740,0.382987,0.701623,54.586
NAP,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.368918,0.890006,41.451
NAP,Qwen-2.5 (1.5B $\to$ 3B),0.288515,0.396182,0.890006,44.515
