Method,Target Model Pair,Baseline,DFA (Best),Gold,Faithfulness Recovery Ratio (%)
NAP-IG-Inputs,Llama-3 (1B $\to$ 3B),0.250000,0.511512,0.260274,196.528
NAP-IG-Inputs,Llama-3 (1B $\to$ 8B),0.250095,0.674208,0.459574,146.703
NAP-IG-Inputs,Llama-3 (3B $\to$ 8B),0.250000,0.454427,0.459574,98.880
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 1.5B),,,,
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 3B),,,,
NAP-IG-Inputs,Qwen-2.5 (1.5B $\to$ 3B),,,,
NAP-IG-Activations,Llama-3 (1B $\to$ 3B),0.250000,0.817874,0.254074,321.904
NAP-IG-Activations,Llama-3 (1B $\to$ 8B),0.250946,0.406619,0.334610,121.520
NAP-IG-Activations,Llama-3 (3B $\to$ 8B),0.250000,0.464775,0.334610,138.901
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 1.5B),,,,
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 3B),,,,
NAP-IG-Activations,Qwen-2.5 (1.5B $\to$ 3B),,,,
NAP,Llama-3 (1B $\to$ 3B),0.251905,0.390321,0.252375,154.659
NAP,Llama-3 (1B $\to$ 8B),0.250000,0.403842,0.250000,161.537
NAP,Llama-3 (3B $\to$ 8B),0.251986,0.400449,0.250000,160.180
NAP,Qwen-2.5 (0.5B $\to$ 1.5B),,,,
NAP,Qwen-2.5 (0.5B $\to$ 3B),,,,
NAP,Qwen-2.5 (1.5B $\to$ 3B),,,,
