Method,Target Model Pair,Baseline,DFA (Best),Gold,Faithfulness Recovery Ratio (%)
NAP-IG-Inputs,Llama-3 (1B $\to$ 3B),0.250000,0.487067,0.253733,191.960
NAP-IG-Inputs,Llama-3 (1B $\to$ 8B),0.251454,0.394630,0.371182,106.317
NAP-IG-Inputs,Llama-3 (3B $\to$ 8B),0.251968,0.671088,0.371182,180.798
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 1.5B),0.249246,0.391884,0.254080,154.236
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.258154,0.317048,81.424
NAP-IG-Inputs,Qwen-2.5 (1.5B $\to$ 3B),0.250596,0.270615,0.317048,85.354
NAP-IG-Activations,Llama-3 (1B $\to$ 3B),0.250000,0.450225,0.250867,179.468
NAP-IG-Activations,Llama-3 (1B $\to$ 8B),0.248844,0.277601,0.308896,89.869
NAP-IG-Activations,Llama-3 (3B $\to$ 8B),0.251349,0.588707,0.308896,190.584
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 1.5B),0.249280,0.402034,0.243820,164.890
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.255997,0.250000,102.399
NAP-IG-Activations,Qwen-2.5 (1.5B $\to$ 3B),0.255071,0.272049,0.250000,108.820
NAP,Llama-3 (1B $\to$ 3B),0.250000,0.261733,0.250000,104.693
NAP,Llama-3 (1B $\to$ 8B),0.249987,0.331864,0.288396,115.072
NAP,Llama-3 (3B $\to$ 8B),0.250365,0.403154,0.288396,139.792
NAP,Qwen-2.5 (0.5B $\to$ 1.5B),0.248864,0.395725,0.243404,162.579
NAP,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.256758,0.250000,102.703
NAP,Qwen-2.5 (1.5B $\to$ 3B),0.253711,0.273093,0.250000,109.237
