Method,Target Model Pair,Baseline,DFA (Best),Gold,Faithfulness Recovery Ratio (%)
NAP-IG-Inputs,Llama-3 (1B $\to$ 3B),0.250000,0.346172,0.280500,123.412
NAP-IG-Inputs,Llama-3 (1B $\to$ 8B),0.250000,0.335554,0.626710,53.542
NAP-IG-Inputs,Llama-3 (3B $\to$ 8B),0.250000,0.570154,0.626710,90.976
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 1.5B),0.250000,0.299689,0.912981,32.825
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.298388,0.907879,32.866
NAP-IG-Inputs,Qwen-2.5 (1.5B $\to$ 3B),0.250000,0.362028,0.907879,39.876
NAP-IG-Activations,Llama-3 (1B $\to$ 3B),0.250000,0.334531,0.379117,88.240
NAP-IG-Activations,Llama-3 (1B $\to$ 8B),0.250000,0.430708,0.345369,124.709
NAP-IG-Activations,Llama-3 (3B $\to$ 8B),0.251231,0.496369,0.345369,143.721
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 1.5B),0.250000,0.285559,0.250000,114.224
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.250432,0.250000,100.173
NAP-IG-Activations,Qwen-2.5 (1.5B $\to$ 3B),0.250000,0.294779,0.250000,117.912
NAP,Llama-3 (1B $\to$ 3B),0.250000,0.321875,0.250000,128.750
NAP,Llama-3 (1B $\to$ 8B),0.250000,0.326492,0.306385,106.563
NAP,Llama-3 (3B $\to$ 8B),0.250000,0.356769,0.306385,116.445
NAP,Qwen-2.5 (0.5B $\to$ 1.5B),0.250000,0.284161,0.250000,113.665
NAP,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.320937,0.250000,128.375
NAP,Qwen-2.5 (1.5B $\to$ 3B),0.250000,0.276301,0.250000,110.520
