Method,Target Model Pair,Baseline,DFA (Best),Gold,Faithfulness Recovery Ratio (%)
NAP-IG-Inputs,Llama-3 (1B $\to$ 3B),0.248438,0.482878,0.467340,103.325
NAP-IG-Inputs,Llama-3 (1B $\to$ 8B),0.250000,0.511435,1.023008,49.993
NAP-IG-Inputs,Llama-3 (3B $\to$ 8B),0.250000,0.457234,1.023008,44.695
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 1.5B),0.251231,0.298446,1.072825,27.819
NAP-IG-Inputs,Qwen-2.5 (0.5B $\to$ 3B),0.250000,0.368041,1.127064,32.655
NAP-IG-Inputs,Qwen-2.5 (1.5B $\to$ 3B),0.277751,0.328210,1.127064,29.121
NAP-IG-Activations,Llama-3 (1B $\to$ 3B),0.251324,0.459523,0.347836,132.109
NAP-IG-Activations,Llama-3 (1B $\to$ 8B),0.252321,0.398714,0.598350,66.635
NAP-IG-Activations,Llama-3 (3B $\to$ 8B),0.256190,0.544632,0.598350,91.022
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 1.5B),0.250000,0.342553,0.601144,56.984
NAP-IG-Activations,Qwen-2.5 (0.5B $\to$ 3B),0.265940,0.358791,0.897733,39.966
NAP-IG-Activations,Qwen-2.5 (1.5B $\to$ 3B),0.388665,0.303620,0.897733,33.821
NAP,Llama-3 (1B $\to$ 3B),0.249402,0.491842,0.352090,139.692
NAP,Llama-3 (1B $\to$ 8B),0.250000,0.459913,0.380508,120.868
NAP,Llama-3 (3B $\to$ 8B),0.253095,0.324449,0.380508,85.267
NAP,Qwen-2.5 (0.5B $\to$ 1.5B),0.250000,0.276596,0.562806,49.146
NAP,Qwen-2.5 (0.5B $\to$ 3B),0.267159,0.373583,0.815977,45.783
NAP,Qwen-2.5 (1.5B $\to$ 3B),0.337688,0.283640,0.815977,34.761
