Method,Setting / Control,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C
NAP-IG-Inputs,1. Random $W$ (Lower Bound),0.25,0.25,,0.25,0.25,0.25
NAP-IG-Inputs,2. Scrambled input $s$,0.25,0.27,,0.25,0.25,0.27
NAP-IG-Inputs,3. Permuted $W$ columns,0.25,0.32,,0.25,0.29,0.29
NAP-IG-Inputs,4. Heuristic Depth Mean,,,,,,
NAP-IG-Inputs,DFA (Zero-shot),0.26,0.25,,0.39,0.27,0.26
NAP-IG-Inputs,DFA (Best),0.30,0.30,,0.39,0.29,0.29
NAP,1. Random $W$ (Lower Bound),0.25,0.25,,0.25,0.27,0.27
NAP,2. Scrambled input $s$,0.25,0.44,,0.41,0.28,0.25
NAP,3. Permuted $W$ columns,0.24,0.28,,0.25,0.27,0.26
NAP,4. Heuristic Depth Mean,,,,,,
NAP,DFA (Zero-shot),0.25,0.27,,0.25,0.38,0.36
NAP,DFA (Best),0.28,0.28,,0.40,0.38,0.36
NAP-IG-Activations,1. Random $W$ (Lower Bound),0.25,0.25,,0.25,0.28,0.30
NAP-IG-Activations,2. Scrambled input $s$,0.25,0.43,,0.25,0.33,0.25
NAP-IG-Activations,3. Permuted $W$ columns,0.25,0.25,,0.25,0.26,0.25
NAP-IG-Activations,4. Heuristic Depth Mean,,,,,,
NAP-IG-Activations,DFA (Zero-shot),0.25,0.28,,0.40,0.42,0.44
NAP-IG-Activations,DFA (Best),0.29,0.34,,0.40,0.42,0.44
