Method,Setting / Control,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C
NAP-IG-Inputs,1. Random $W$ (Lower Bound),0.25,0.25,,0.25,0.25,0.25
NAP-IG-Inputs,2. Scrambled input $s$,0.25,0.36,,0.25,0.25,0.29
NAP-IG-Inputs,3. Permuted $W$ columns,0.27,0.38,,0.25,0.35,0.34
NAP-IG-Inputs,4. Heuristic Depth Mean,,,,,,
NAP-IG-Inputs,DFA (Zero-shot),0.30,0.32,,0.25,0.28,0.28
NAP-IG-Inputs,DFA (Best),0.30,0.37,,0.26,0.35,0.34
NAP,1. Random $W$ (Lower Bound),0.25,0.27,,0.25,0.25,0.25
NAP,2. Scrambled input $s$,0.25,0.57,,0.25,0.29,0.25
NAP,3. Permuted $W$ columns,0.29,0.30,,0.25,0.30,0.29
NAP,4. Heuristic Depth Mean,,,,,,
NAP,DFA (Zero-shot),0.32,0.27,,0.24,0.32,0.35
NAP,DFA (Best),0.32,0.37,,0.26,0.37,0.42
NAP-IG-Activations,1. Random $W$ (Lower Bound),0.25,0.27,,0.25,0.25,0.25
NAP-IG-Activations,2. Scrambled input $s$,0.25,0.60,,0.25,0.24,0.25
NAP-IG-Activations,3. Permuted $W$ columns,0.30,0.30,,0.25,0.31,0.31
NAP-IG-Activations,4. Heuristic Depth Mean,,,,,,
NAP-IG-Activations,DFA (Zero-shot),0.25,0.34,,0.25,0.34,0.48
NAP-IG-Activations,DFA (Best),0.25,0.36,,0.26,0.34,0.48
